hostname,sy_pnum,st_rad,st_mass
HD 88133,1,1.943,1.18
HD 88986,1,1.543,1.25
HD 89307,1,1.01,1.05
HD 89307,1,1.0924,1.09
HD 89307,1,1.1,1.27
HD 89307,1,1.05,1.028
HD 89307,1,NA,1.028
HD 89307,1,NA,1.03
HD 89345,1,1.78598,NA
HD 89345,1,1.747,1.157
HD 89345,1,1.733,1.324
HD 89345,1,1.657,NA
HD 89345,1,1.657,1.12
HD 89345,1,1.657,1.12
HD 89744,1,2.13257,1.21
HD 89744,1,NA,1.558
HD 89744,1,NA,1.86
HD 89839,1,NA,1.21
HD 89839,1,NA,1.21
HD 89839,1,NA,1.3
HD 89839,1,NA,1.3
HD 90156,1,NA,0.84
HD 90156,1,0.920286,0.855954
HD 9174,1,1.67,1.03
HD 92788,2,1.14,1.15
HD 92788,2,NA,1.1
HD 92788,2,1.161955,1.07575
HD 92788,2,1.05,1.06
HD 92788,2,1.11,1.15
HD 92788,2,NA,1.032
HD 92788,2,1.14,1.15
HD 92788,2,1.161955,1.07575
HD 93083,1,NA,0.7
HD 93351,2,NA,0.94
HD 93351,2,NA,0.94
HD 93385,3,NA,1.04
HD 93385,3,NA,1.04
HD 93385,3,NA,1.04
HD 93963 A,2,1.043,1.109
HD 93963 A,2,1.03,1.09
HD 93963 A,2,1.05,NA
HD 93963 A,2,1.0311,1.0844
HD 93963 A,2,1.043,1.109
HD 93963 A,2,1.05,NA
HD 93963 A,2,1.0311,1.0844
HD 9446,2,1,1
HD 9446,2,1,1
HD 94771,1,1.903,1.2
HD 94834,1,4.2,1.11
HD 94890,2,10.71,1.74
HD 94890,2,10.71,1.74
HD 95086,1,NA,1.6
HD 95086,1,1.48667,1.77
HD 95086,1,NA,1.6
HD 95086,1,1.48667,1.77
HD 95086,1,NA,NA
HD 95089,2,4.9,1.58
HD 95089,2,5.08,1.54
HD 95089,2,NA,1.38
HD 95089,2,5.08,1.54
HD 95127,1,41.01,3.7
HD 95127,1,20,1.2
HD 95338,1,0.87,NA
HD 95338,1,NA,NA
HD 95338,1,0.87,0.83
HD 95338,1,0.868,0.848
HD 95544,1,1.088,1.09
HD 95544,1,NA,1.01
HD 95544,1,NA,1.09
GJ 411,2,NA,NA
GJ 411,2,0.3685,0.3899
GJ 411,2,0.369083,0.391846
HD 95872,1,NA,0.95
HD 95872,1,0.84,0.7
HD 96063,1,4.75,1.37
HD 96063,1,4.5,1.02
HD 96127,1,51.1,10.94
HD 96127,1,35,0.91
HD 96167,1,1.94,1.27
HD 96167,1,1.85,1.67
HD 96167,1,1.94,1.27
HD 96167,1,1.86,1.31
HD 96700,3,NA,0.89
HD 96700,3,NA,0.89
HD 96700,3,NA,0.89
HD 96992,1,7.43,0.96
HD 97037,1,NA,1.06
HD 97048,1,2.25,2.4
HD 97658,1,0.77,NA
HD 97658,1,NA,NA
HD 97658,1,NA,0.741
HD 97658,1,0.728,0.85
HD 97658,1,0.754247,0.771773
HD 97658,1,0.68,0.78
HD 97658,1,0.74,0.89
HD 97658,1,0.68,0.78
HD 97658,1,0.771397,0.86
HD 97658,1,NA,NA
HD 97658,1,0.741,0.77
HD 97658,1,0.703,0.747
HD 98219,1,4.5,1.3
HD 98219,1,4.6,1.41
HD 98219,1,3.85,1.71
HD 98649,1,1,1
HD 98649,1,1.01,1.03
HD 98649,1,NA,1.02
HD 98649,1,NA,0.97
HD 98736,1,0.93,0.92
HD 99109,1,0.98,0.76
HD 99109,1,0.986304,0.969168
HD 99109,1,NA,0.93
HD 99283,1,11.21,1.76
HD 99492,2,0.822539,0.855745
HD 99492,2,0.78,0.85
HD 99492,2,NA,0.775
HD 99492,2,NA,0.85
HD 99492,2,0.83,0.48
HD 99492,2,0.750336,0.85
HD 99492,2,0.96,0.83
HD 99492,2,NA,0.85
HD 99706,2,5.4,1.72
HD 99706,2,5.52,1.46
HD 99706,2,6.29,1.7
HD 99706,2,NA,1.72
HIP 105854,1,NA,2.1
HIP 107772,1,NA,0.63
HIP 107773,1,11.6,2.42
HIP 109384,1,NA,0.78
HIP 109600,1,NA,0.87
HIP 111909,2,4.53,1.28
HIP 111909,2,4.53,1.28
HIP 113103,2,0.742,0.761
HIP 113103,2,0.742,0.761
HIP 113103,2,0.76,NA
HIP 114933,1,5.27,1.39
HIP 114933,1,5.27,1.39
HIP 116454,1,0.716,0.755
HIP 116454,1,0.716,0.775
HIP 116454,1,0.72,0.81
HIP 116454,1,0.758,0.8
HIP 116454,1,0.77,NA
HIP 12961,1,0.65,0.69
HIP 12961,1,0.660799,0.62
HIP 14810,3,1,0.99
HIP 14810,3,NA,0.99
HIP 14810,3,1.07,1.01
HIP 14810,3,1.04,0.81
HIP 14810,3,1.02639,0.98
HIP 14810,3,1,0.99
HIP 14810,3,1.07,1.01
HIP 14810,3,1.02639,0.98
HIP 14810,3,1.07,1.01
HIP 14810,3,1,0.99
HIP 18606,1,4.83,1.21
HIP 19976,1,NA,0.67
HIP 21152,1,NA,1.3
HIP 21152,1,NA,1.4
TOI-469,3,0.98,0.901
TOI-469,3,0.98,0.89
TOI-469,3,0.98,0.89
TOI-469,3,0.98,0.901
HIP 34222,1,NA,0.62
HIP 35173,1,NA,0.79
HIP 35965,1,NA,0.78
HIP 38594,2,NA,0.61
HIP 38594,2,NA,0.61
HIP 39017,1,NA,1.52
HIP 41378,6,1.343,1.168
HIP 41378,6,1.31,NA
HIP 41378,6,1.273,1.16
HIP 41378,6,1.4,1.15
HIP 41378,6,1.30883,NA
HIP 41378,6,1.4,1.15
HIP 41378,6,1.343,1.168
HIP 41378,6,1.273,1.16
HIP 41378,6,1.273,1.16
HIP 41378,6,1.35,1.14
HIP 41378,6,1.28,NA
HIP 41378,6,1.343,1.168
HIP 41378,6,1.4,1.15
HIP 41378,6,1.343,1.168
HIP 41378,6,1.4,1.15
HIP 41378,6,1.273,1.16
HIP 41378,6,1.273,1.16
HIP 41378,6,1.4,1.15
HIP 41378,6,1.35,1.14
HIP 41378,6,1.343,1.168
HIP 41378,6,1.273,1.16
HIP 4845,1,NA,0.62
HIP 48714,1,NA,0.58
HIP 5158,2,0.75,0.43
HIP 5158,2,NA,0.78
HIP 5158,2,0.754089,0.78
HIP 5158,2,0.754089,0.78
HIP 54373,2,NA,0.57
HIP 54373,2,NA,0.57
HIP 54515,1,NA,1.9
HIP 54597,1,0.66,0.69
HIP 54597,1,NA,0.8
HIP 55507,1,NA,0.65
HIP 56640,1,4.93,1.04
HIP 56640,1,NA,1.75
HIP 56640,1,4.93,1.04
HIP 56640,1,NA,1.04
HIP 57274,3,0.78,0.29
HIP 57274,3,0.7984,0.71
HIP 57274,3,NA,NA
HIP 57274,3,0.68,0.73
HIP 57274,3,0.68,0.73
HIP 57274,3,0.68,0.73
HIP 5763,1,NA,0.72
HIP 63242,1,NA,1.54
HIP 65 A,1,0.764401,NA
HIP 65 A,1,0.7242,0.781
HIP 65 A,1,NA,0.74
HIP 65 A,1,0.7242,0.781
HIP 65407,2,NA,0.93
HIP 65407,2,NA,0.93
HIP 65426,1,1.77,1.96
HIP 65891,1,NA,2.49
HIP 65891,1,8.93,2.5
HIP 66074,1,0.69,0.705
HIP 67522,2,1.38,NA
HIP 67522,2,1.33729,NA
HIP 67522,2,1.38,1.22
HIP 67522,2,1.38,1.22
HIP 67522,2,NA,NA
HIP 67522,2,1.38,1.22
HIP 67537,1,NA,2.41
HIP 67537,1,8.69,2.41
HIP 67537,1,NA,2.316
HIP 67851,2,5.87,1.3
HIP 67851,2,5.72,1.19
HIP 67851,2,NA,1.896
HIP 67851,2,5.92,1.63
HIP 67851,2,5.45,1.28
HIP 67851,2,5.92,1.63
HIP 67851,2,5.948,1.394
HIP 67851,2,NA,1.896
HIP 67851,2,5.92,1.63
HIP 67851,2,5.45,1.28
HIP 67851,2,5.92,1.63
HIP 67851,2,5.948,1.394
HIP 67851,2,5.72,1.19
HIP 67851,2,5.87,1.3
HIP 70849,1,NA,0.647
HIP 70849,1,NA,0.63
HIP 70849,1,NA,0.65
HIP 71135,1,NA,0.66
HIP 74890,1,4.62,1.31
HIP 74890,1,5.77,1.74
HIP 75092,1,4.53,1.28
HIP 75092,1,4.53,1.28
HIP 77900,1,NA,NA
HIP 78530,1,NA,2.5
HIP 78530,1,2.10876,2.192
HIP 78530,1,NA,2.5
HIP 79098 AB,1,NA,3.75
HIP 79431,1,NA,0.49
HIP 81208 C,1,NA,0.135
HIP 8152,2,0.95,0.91
HIP 8152,2,0.918917,NA
HIP 8152,2,0.9603,0.9373
HIP 8152,2,0.9603,0.9373
HIP 8152,2,0.95,0.91
HIP 8152,2,0.918917,NA
HIP 8541,2,NA,1.17
HIP 8541,2,6.84,0.96
HIP 8541,2,NA,2.009
HIP 8541,2,7.83,1.17
HIP 86221,1,NA,0.79
HIP 90988,1,3.94,1.3
HIP 90988,1,NA,1.613
HIP 90988,1,3.94,1.3
HIP 91258,1,0.89,0.97
HIP 91258,1,1,0.95
HIP 94235,1,1.08958,NA
HIP 94235,1,1.08,1.094
HIP 94235,1,1.08958,1.1
HIP 948,1,NA,0.71
HIP 9618,2,0.9593,0.942
HIP 9618,2,0.9662,1.022
HIP 9618,2,0.97,NA
HIP 9618,2,0.95,0.93
HIP 9618,2,0.9593,0.942
HIP 9618,2,0.95,0.93
HIP 9618,2,0.9662,1.022
HIP 9618,2,0.97,NA
HIP 97166,2,0.8418,0.9342
HIP 97166,2,0.87,NA
HIP 97166,2,0.836,0.898
HIP 97166,2,0.8418,0.9342
HIP 97166,2,0.836,0.898
HIP 97233,1,NA,1.81
HIP 97233,1,NA,1.74
HIP 97233,1,5.34,1.93
HIP 99770,1,NA,1.85
HIP 99770,1,NA,1.9
HN Lib,1,0.299,0.291
HN Peg,1,NA,NA
HR 2562,1,NA,1.3
HR 2562,1,1.334,1.368
HR 5183,1,NA,1.07
HR 5183,1,1.555268,1.099514
HR 5183,1,1.53,1.07
HR 810,1,NA,1.03
HR 810,1,NA,NA
HR 810,1,1.13,1.34
HR 810,1,NA,1.03
HR 810,1,NA,NA
HR 858,3,1.258,1.204
HR 858,3,1.28,NA
HR 858,3,1.31,1.145
HR 858,3,1.2845,NA
HR 858,3,1.258,1.204
HR 858,3,1.31,1.145
HR 858,3,1.2845,NA
HR 858,3,1.258,1.204
HR 858,3,1.31,1.145
HR 8799,4,1.49338,1.61
HR 8799,4,1.49338,1.61
HR 8799,4,NA,1.5
HR 8799,4,NA,1.51
HR 8799,4,1.49338,1.61
HR 8799,4,1.49338,1.61
HR 8799,4,NA,1.5
HR 8799,4,NA,1.51
HR 8799,4,1.49338,1.61
HR 8799,4,1.49338,1.61
HR 8799,4,NA,1.5
HR 8799,4,NA,1.51
HR 8799,4,1.49338,1.61
HR 8799,4,NA,1.51
HR 8799,4,1.49338,1.61
HR 8799,4,NA,NA
HS Psc,1,0.65,0.69
HU Aqr,2,NA,0.88
HU Aqr,2,NA,0.88
IC 4651 9122,1,NA,2.1
IRAS 04125+2902,1,1.45,0.7
IRAS 04125+2902,1,1.14998,NA
ITG 15 A,1,NA,NA
K2-10,1,0.721,NA
K2-10,1,0.98,0.92
K2-10,1,0.93,0.94
K2-10,1,0.902012,0.958188
K2-10,1,0.956,0.88
K2-10,1,0.968923,0.973
K2-10,1,1.08,0.92
K2-10,1,0.86,NA
K2-100,1,1.227,1.21
K2-100,1,1.22,NA
K2-100,1,1.21742,1.153
K2-100,1,1.21742,1.153
K2-100,1,1.21742,1.153
K2-100,1,1.22,1.23
K2-100,1,1.19,1.18
K2-100,1,1.19,1.18
K2-100,1,1.273,NA
K2-100,1,1.572,NA
K2-100,1,1.23,NA
K2-100,1,1.24,1.15
K2-101,1,0.769722,0.833034
K2-101,1,0.725,NA
K2-101,1,0.73,0.8
K2-101,1,0.682,NA
K2-101,1,0.800765,0.75
K2-101,1,0.800765,0.75
K2-101,1,0.76,0.82
K2-102,1,0.71,0.77
K2-102,1,0.768432,0.736
K2-104,1,0.303,NA
K2-104,1,0.502513,0.500534
K2-104,1,0.5573,NA
K2-104,1,0.484,NA
K2-104,1,0.492279,0.426533
K2-104,1,0.48,0.51
K2-104,1,0.502513,0.500534
K2-104,1,0.48,0.51
K2-105,1,0.90883100000000006,0.964948
K2-105,1,0.915405,0.941
K2-105,1,0.915405,0.941
K2-105,1,0.95,1.01
K2-105,1,0.91,0.99
K2-105,1,0.97,NA
K2-105,1,0.947,NA
K2-105,1,0.905,0.94
K2-105,1,0.92,NA
K2-105,1,0.98,NA
K2-105,1,0.97,1.05
K2-107,1,1.334682,1.257584
K2-107,1,1.73,NA
K2-107,1,1.908,NA
K2-107,1,1.78,1.3
K2-107,1,1.81,1.3
K2-107,1,1.78,1.3
K2-108,1,1.76,1.17
K2-108,1,1.797,NA
K2-108,1,1.77,NA
K2-108,1,2.306381,1.28805
K2-108,1,1.75,1.121
K2-108,1,1.75,2.83
K2-108,1,1.75896,0.964
K2-108,1,1.75896,NA
K2-108,1,1.75896,0.964
K2-11,1,5.15,1.35
K2-11,1,0.78,NA
K2-11,1,0.83,0.89
K2-11,1,0.896,NA
K2-110,1,0.68,NA
K2-110,1,0.71181,0.811
K2-110,1,0.71,0.7
K2-110,1,0.686,NA
K2-110,1,0.71181,0.811
K2-110,1,0.71,0.75
K2-110,1,0.692198,0.724359
K2-110,1,0.713,0.738
K2-110,1,0.713,0.738
K2-111,2,1.25,0.84
K2-111,2,1.17,NA
K2-111,2,0.922706,0.876863
K2-111,2,0.884,0.83
K2-111,2,1.25,0.84
K2-111,2,1.275,NA
K2-111,2,1.23,0.88
K2-111,2,1.25,0.84
K2-111,2,1.25,0.84
K2-111,2,1.25,0.84
K2-111,2,1.25,0.84
K2-113,1,1.24,1.04
K2-113,1,1.047,1.007
K2-113,1,1.33,NA
K2-113,1,1.22,NA
K2-113,1,1.288,NA
K2-113,1,1.047,1.007
K2-114,1,0.9,NA
K2-114,1,0.832,0.863
K2-114,1,0.875936,0.81
K2-114,1,0.824,0.86
K2-114,1,0.87,0.89
K2-114,1,0.854,NA
K2-114,1,0.84,0.89
K2-114,1,0.875936,0.81
K2-114,1,0.828,0.832
K2-114,1,0.875936,NA
K2-115,1,0.86,NA
K2-115,1,0.881,0.831
K2-115,1,0.88,0.95
K2-115,1,NA,NA
K2-115,1,0.855,0.918
K2-115,1,0.85554,1.026
K2-115,1,0.86,NA
K2-115,1,0.831,NA
K2-115,1,0.881,0.831
K2-115,1,0.88,0.95
K2-115,1,0.85554,1.026
K2-116,1,0.6694,0.694512
K2-116,1,0.687426,0.726778
K2-116,1,0.66,NA
K2-116,1,0.6694,0.694512
K2-117,2,0.52,NA
K2-117,2,0.4,NA
K2-117,2,0.513,0.532
K2-117,2,0.491598,0.582006
K2-117,2,0.51,0.54
K2-117,2,0.514745,NA
K2-117,2,0.514745,0.512437
K2-117,2,0.514745,0.512437
K2-117,2,0.52,NA
K2-117,2,0.51,0.54
K2-117,2,0.491598,0.582006
K2-117,2,0.4,NA
K2-117,2,0.513,0.532
K2-118,1,0.702,NA
K2-118,1,0.734626,0.756446
K2-119,1,0.679343,0.762669
K2-119,1,0.71,NA
K2-119,1,0.589,NA
K2-119,1,0.739177,0.71
K2-119,1,0.71,0.76
K2-119,1,0.739177,0.71
K2-12,1,1.117,0.965
K2-12,1,1.084,NA
K2-12,1,1.31,1.18
K2-12,1,0.92,NA
K2-12,1,1.005112,0.935733
K2-12,1,1.01,1.01
K2-121,1,0.768,0.711514
K2-121,1,0.71,NA
K2-121,1,0.65,NA
K2-121,1,0.686484,0.72709
K2-121,1,0.68,0.72
K2-121,1,0.649127,0.74
K2-121,1,0.67,0.69
K2-121,1,0.675,0.71
K2-121,1,0.768,0.711514
K2-121,1,0.637,NA
K2-121,1,0.649127,0.74
K2-122,1,0.532,NA
K2-122,1,0.612,0.644
K2-122,1,0.63,NA
K2-122,1,0.613895,0.59928
K2-122,1,0.59,0.63
K2-122,1,0.590802,0.629589
K2-122,1,0.6,0.62
K2-122,1,0.613895,0.59928
K2-123,1,0.609039,0.595401
K2-123,1,0.571015,0.649093
K2-123,1,0.598,NA
K2-123,1,0.637,NA
K2-123,1,0.59,0.62
K2-123,1,0.592,0.615
K2-123,1,0.609039,0.595401
K2-123,1,0.64,NA
K2-124,1,0.394,NA
K2-124,1,0.388,0.39
K2-124,1,0.35,NA
K2-124,1,0.41,0.43
K2-124,1,0.4094,0.402051
K2-124,1,0.299,NA
K2-124,1,0.344292,0.436372
K2-125,1,0.402049,0.494727
K2-126,1,0.66,NA
K2-126,1,0.668695,0.666
K2-126,1,0.625,NA
K2-126,1,0.588892,0.610472
K2-126,1,0.62115,0.697192
K2-126,1,0.668695,0.666
K2-126,1,0.65,0.69
K2-127,1,0.66,0.72
K2-127,1,0.676994,0.699933
K2-127,1,0.982,NA
K2-127,1,0.75,NA
K2-127,1,0.980071,NA
K2-127,1,0.980071,0.84
K2-128,1,0.777569,0.711248
K2-128,1,0.578,NA
K2-128,1,0.650657,0.686997
K2-129,1,0.215,NA
K2-129,1,0.36001,0.360031
K2-13,1,0.78,0.8
K2-13,1,1.09,0.94
K2-13,1,0.88,NA
K2-130,1,0.663,NA
K2-130,1,0.64361,0.675067
K2-130,1,0.744261,0.69563
K2-131,1,0.755722,NA
K2-131,1,0.81,NA
K2-131,1,0.75,0.84
K2-131,1,0.744,0.793
K2-131,1,0.7595,0.803
K2-131,1,0.81,0.84
K2-131,1,0.765322,0.802828
K2-132,1,3.85,1.08
K2-132,1,2.162531,0.984438
K2-132,1,3.85,1.08
K2-132,1,4.11,1.19
K2-132,1,3.85,1.08
K2-132,1,3.79,NA
K2-133,4,0.455,0.461
K2-133,4,0.47,0.51
K2-133,4,0.455,0.461
K2-133,4,0.47,0.51
K2-133,4,0.455,0.461
K2-133,4,0.47,0.51
K2-133,4,0.46,NA
K2-133,4,0.455,0.461
K2-136,3,0.723,0.686
K2-136,3,0.677,0.742
K2-136,3,0.66,0.74
K2-136,3,0.77,NA
K2-136,3,0.66,0.74
K2-136,3,0.71,0.71
K2-136,3,0.677,0.742
K2-136,3,0.71,0.71
K2-136,3,0.723,0.686
K2-136,3,0.677,0.742
K2-136,3,0.723,0.686
K2-136,3,0.66,0.74
K2-137,1,0.442,0.463
K2-137,1,0.29,NA
K2-138,6,0.834,0.891
K2-138,6,0.86,0.93
K2-138,6,0.863,0.935
K2-138,6,0.839,0.916
K2-138,6,0.863,0.935
K2-138,6,0.86,0.93
K2-138,6,0.834,0.891
K2-138,6,0.839,0.916
K2-138,6,0.839,0.916
K2-138,6,0.863,0.935
K2-138,6,0.86,0.93
K2-138,6,0.834,0.891
K2-138,6,0.834,0.891
K2-138,6,0.863,0.935
K2-138,6,0.839,0.916
K2-138,6,0.86,NA
K2-138,6,0.86,0.93
K2-138,6,0.839,0.916
K2-138,6,0.863,0.935
K2-138,6,0.86,0.93
K2-138,6,0.834,0.891
K2-138,6,0.839,0.916
K2-138,6,0.834,0.891
K2-138,6,0.863,0.935
K2-139,1,0.872288,0.948628
K2-139,1,0.93,NA
K2-139,1,0.88,0.96
K2-139,1,0.913,NA
K2-139,1,0.862,0.919
K2-14,1,0.56,NA
K2-14,1,0.623332,0.623433
K2-14,1,0.708,NA
K2-14,1,0.386,0.433
K2-14,1,0.45,0.47
K2-140,1,1.06,0.96
K2-140,1,0.987,1.005
K2-140,1,0.99,1
K2-140,1,1.047599,1.017113
K2-140,1,1.01702,NA
K2-140,1,0.987,1.005
K2-141,2,0.6862,0.706
K2-141,2,0.674,0.662
K2-141,2,0.681,0.708
K2-141,2,0.72,NA
K2-141,2,0.681,0.708
K2-141,2,0.681,0.708
K2-141,2,0.681,0.708
K2-146,2,0.225,NA
K2-146,2,0.33,0.33
K2-146,2,0.35,0.358
K2-146,2,0.325729,0.306161
K2-146,2,0.33,0.331
K2-146,2,0.325729,0.306161
K2-146,2,0.5,NA
K2-146,2,0.226,NA
K2-146,2,0.35,0.358
K2-146,2,0.35,0.358
K2-146,2,0.33,0.331
K2-147,1,0.311,NA
K2-147,1,0.31,NA
K2-147,1,0.554,0.583
K2-147,1,0.578,0.563
K2-148,3,0.632,0.65
K2-148,3,0.371,NA
K2-148,3,0.632,0.65
K2-148,3,0.371,NA
K2-148,3,0.371,NA
K2-148,3,0.632,0.65
K2-149,1,0.568,0.595
K2-15,1,0.68,0.72
K2-15,1,0.78,0.81
K2-15,1,0.8,NA
K2-15,1,0.76,NA
K2-150,1,0.36,NA
K2-150,1,0.436,0.457
K2-151,1,0.429,0.44
K2-151,1,0.45,NA
K2-151,1,0.45,0.47
K2-151,1,0.321,NA
K2-152,1,0.61,0.63
K2-152,1,0.631,0.654
K2-153,1,0.495,0.512
K2-153,1,0.53,0.55
K2-154,2,0.649,0.672
K2-154,2,0.63,0.65
K2-154,2,0.63,0.65
K2-154,2,0.649,0.672
K2-155,3,0.58,0.65
K2-155,3,0.526,0.54
K2-155,3,0.526,0.54
K2-155,3,0.655766,NA
K2-155,3,0.526,0.54
K2-155,3,0.58,0.65
K2-155,3,0.58,0.65
K2-155,3,0.526,0.54
K2-156,1,0.615543,0.642263
K2-156,1,0.66,0.66
K2-156,1,0.62,NA
K2-157,3,0.86,0.89
K2-157,3,0.88,NA
K2-157,3,0.875749,0.939509
K2-157,3,0.86,0.89
K2-157,3,0.86,0.89
K2-158,2,0.95,0.92
K2-158,2,0.892097,0.932757
K2-158,2,0.95,0.92
K2-159,1,0.83,0.9
K2-159,1,0.829915,0.8857
K2-16,3,0.67,0.69
K2-16,3,0.71,NA
K2-16,3,0.544,NA
K2-16,3,0.64,0.67
K2-16,3,0.66,0.68
K2-16,3,0.66,0.68
K2-16,3,0.544,NA
K2-16,3,0.64,0.67
K2-16,3,0.71,NA
K2-16,3,0.67,0.69
K2-160,1,0.913754,0.982829
K2-161,1,2.568173,0.986876
K2-162,1,0.725626,0.776634
K2-162,1,0.69,0.75
K2-163,1,0.762201,0.826112
K2-164,1,1.06,NA
K2-164,1,2.196069,1.180894
K2-164,1,1.27,NA
K2-165,3,0.803827,0.834847
K2-165,3,0.803827,0.834847
K2-165,3,0.837606,NA
K2-165,3,0.803827,0.834847
K2-166,2,1.61,1.16
K2-166,2,1.196219,1.072665
K2-167,1,1.829853,1.016265
K2-167,1,1.46,1.337
K2-167,1,1.47131,NA
K2-167,1,1.494,1.01
K2-167,1,1.499,1.02
K2-167,1,1.499,1.084
K2-167,1,1.18,NA
K2-168,2,0.904,NA
K2-168,2,0.83,0.877
K2-168,2,0.88,NA
K2-168,2,0.874211,0.906739
K2-169,1,0.981,NA
K2-169,1,0.919053,0.986144
K2-169,1,0.83,NA
K2-17,1,0.556,NA
K2-17,1,0.600869,0.624878
K2-17,1,0.66,0.71
K2-17,1,0.63,NA
K2-17,1,0.626014,0.657836
K2-17,1,0.478,0.532
K2-170,2,1.0849,NA
K2-170,2,0.98,NA
K2-170,2,0.981614,0.963657
K2-170,2,1.0849,NA
K2-170,2,0.98,NA
K2-170,2,0.981614,0.963657
K2-171,1,2.378,NA
K2-171,1,1.717458,0.891587
K2-171,1,0.77,NA
K2-172,2,0.824,NA
K2-172,2,0.868889,0.934356
K2-172,2,0.86,NA
K2-172,2,0.857949,0.977
K2-172,2,0.868889,0.934356
K2-172,2,0.824,NA
K2-172,2,0.86,NA
K2-173,1,0.843154,0.881538
K2-173,1,1.00118,0.983
K2-174,1,0.758892,0.66
K2-174,1,0.676,0.7
K2-174,1,0.673,NA
K2-174,1,0.758892,NA
K2-174,1,0.63908,0.668401
K2-174,1,0.758892,0.66
K2-174,1,0.669,NA
K2-175,1,1.420038,1.094693
K2-176,1,0.911,NA
K2-176,1,0.86416,0.938545
K2-177,1,1.213565,1.210525
K2-178,1,0.889347,NA
K2-178,1,0.887267,0.95109
K2-178,1,0.938,NA
K2-179,1,0.768067,0.824345
K2-179,1,0.639,NA
K2-179,1,0.709349,0.848
K2-18,2,0.444516,NA
K2-18,2,0.411,0.359
K2-18,2,0.36,NA
K2-18,2,0.411,0.359
K2-18,2,0.411,0.359
K2-18,2,0.468,0.32
K2-18,2,0.444516,0.440668
K2-18,2,0.4,0.42
K2-18,2,0.249,NA
K2-18,2,0.394,0.413
K2-18,2,0.4445,0.4951
K2-18,2,0.411,0.359
K2-180,1,0.65,NA
K2-180,1,0.681111,0.730322
K2-180,1,0.72,0.72
K2-180,1,0.69,0.71
K2-180,1,0.638,0.67
K2-180,1,0.697439,NA
K2-180,1,0.697439,0.93
K2-180,1,0.6867,NA
K2-180,1,0.72,0.72
K2-180,1,0.719,0.735
K2-181,1,1.11,NA
K2-181,1,1.04,1.022
K2-181,1,1.05734,0.983
K2-181,1,0.999244,1.043879
K2-181,1,1.06,0.96
K2-181,1,1.071,NA
K2-181,1,1.05734,0.983
K2-181,1,1.07,0.99
K2-182,1,0.790862,0.878
K2-182,1,0.790138,0.846996
K2-182,1,0.789,0.823
K2-182,1,0.8,0.88
K2-182,1,0.822,NA
K2-182,1,0.82,NA
K2-182,1,0.790862,0.878
K2-182,1,0.79,NA
K2-182,1,0.8,0.84
K2-182,1,0.793,0.865
K2-183,3,0.984,NA
K2-183,3,0.873283,0.942219
K2-183,3,0.87,NA
K2-183,3,0.97,0.93
K2-183,3,0.984,NA
K2-183,3,0.92,NA
K2-183,3,0.968558,0.95
K2-183,3,0.87,NA
K2-183,3,0.873283,0.942219
K2-183,3,0.968558,0.95
K2-183,3,0.873283,0.942219
K2-183,3,0.97,0.93
K2-183,3,0.92,NA
K2-183,3,0.87,NA
K2-183,3,0.984,NA
K2-184,1,0.767142,0.89
K2-184,1,0.78,0.86
K2-184,1,0.767142,0.89
K2-184,1,0.79,NA
K2-184,1,0.764371,0.818986
K2-184,1,0.75,0.84
K2-184,1,0.816,NA
K2-185,2,0.94,0.96
K2-185,2,0.914349,0.976219
K2-185,2,0.891,NA
K2-185,2,0.94,0.96
K2-185,2,0.891,NA
K2-185,2,NA,NA
K2-186,1,1.0574,NA
K2-186,1,0.98083,1.018617
K2-187,4,0.919,NA
K2-187,4,0.83,NA
K2-187,4,0.92,0.98
K2-187,4,0.894913,0.966999
K2-187,4,0.919,NA
K2-187,4,0.894913,0.966999
K2-187,4,0.83,NA
K2-187,4,0.96,NA
K2-187,4,0.92,0.98
K2-187,4,0.96,NA
K2-187,4,0.919,NA
K2-187,4,0.92,0.98
K2-187,4,0.92027,0.93
K2-187,4,0.83,NA
K2-187,4,0.894913,0.966999
K2-187,4,0.92027,0.93
K2-187,4,0.96,NA
K2-187,4,0.894913,0.966999
K2-187,4,0.83,NA
K2-187,4,0.92,0.98
K2-187,4,0.919,NA
K2-188,2,1.19,1.06
K2-188,2,1.109202,1.106611
K2-188,2,1.22,NA
K2-188,2,1.109202,1.106611
K2-188,2,1.19,NA
K2-188,2,1.19,1.06
K2-188,2,1.181,NA
K2-188,2,1.21722,1.07
K2-188,2,1.21722,1.07
K2-189,2,0.879,0.85
K2-189,2,0.862285,0.927528
K2-189,2,0.882,NA
K2-189,2,0.87,0.94
K2-189,2,0.88,NA
K2-189,2,0.87,0.94
K2-189,2,0.882,NA
K2-189,2,0.866405,0.956
K2-189,2,0.879,0.85
K2-189,2,0.866405,0.956
K2-189,2,0.862285,0.927528
K2-19,3,0.81,0.84
K2-19,3,0.833805,0.895163
K2-19,3,0.86,0.93
K2-19,3,0.840476,NA
K2-19,3,0.840476,0.92
K2-19,3,0.86,0.93
K2-19,3,0.82,0.88
K2-19,3,0.881,0.918
K2-19,3,0.84,NA
K2-19,3,1.01,0.99
K2-19,3,0.82,0.88
K2-19,3,0.823,NA
K2-19,3,0.824,0.892
K2-19,3,0.914,0.902
K2-19,3,0.913,0.949
K2-19,3,0.88,0.89
K2-19,3,0.86,0.93
K2-19,3,0.84,NA
