hostname,sy_pnum,st_rad,st_mass
AT2021ueyL,1,NA,0.49
AU Mic,4,0.862,0.635
AU Mic,4,0.82,0.6
AU Mic,4,0.75,0.5
AU Mic,4,0.75,0.5
AU Mic,4,0.75,0.5
AU Mic,4,0.75,0.5
AU Mic,4,NA,0.5
AU Mic,4,0.698009,NA
AU Mic,4,0.75,0.5
AU Mic,4,0.75,0.56
AU Mic,4,0.82,0.6
AU Mic,4,0.744,0.51
AU Mic,4,NA,NA
AU Mic,4,0.75,NA
AU Mic,4,0.75,0.5
AU Mic,4,0.82,0.6
AU Mic,4,0.744,0.51
AU Mic,4,0.862,0.635
AU Mic,4,0.75,0.5
AU Mic,4,NA,0.5
AU Mic,4,0.75,0.5
AU Mic,4,0.75,NA
AU Mic,4,0.82,0.6
AU Mic,4,0.744,0.51
AU Mic,4,0.82,0.6
AU Mic,4,0.82,0.6
BD+03 2562,1,32.35,1.14
BD+05 4868 A,1,0.69,0.7
BD+14 4559,1,0.86,0.49
BD+14 4559,1,0.95,0.86
BD+15 2375,1,8.95,1.08
BD+15 2940,1,14.7,1.1
BD+20 2457,2,71.02,10.83
BD+20 2457,2,49,2.8
BD+20 2457,2,49,2.8
BD+20 274,1,17.3,0.8
BD+20 594,1,0.928,0.961
BD+20 594,1,0.956122,0.963861
BD+20 594,1,1.08,1.67
BD+37 3172,1,50.24,3.75
BD+42 2315,1,17.85,1.38
BD+45 564,1,NA,0.81
BD+48 738,1,11,0.74
BD+48 740,1,10.33,1.09
BD+49 828,1,7.6,1.52
BD+55 362,1,NA,0.909
BD+60 1417,1,0.797,1
BD+63 1405,1,NA,0.816
BD+63 1405,1,NA,0.816
BD-06 1339,2,NA,NA
BD-06 1339,2,NA,0.7
BD-06 1339,2,NA,0.7
BD-08 2823,2,NA,NA
BD-08 2823,2,0.71,0.5
BD-08 2823,2,NA,0.74
BD-08 2823,2,NA,0.74
BD-10 3166,1,NA,1.01
BD-10 3166,1,0.91,1.47
BD-10 3166,1,NA,1.1
BD-10 3166,1,0.969745,0.999531
BD-11 4672,2,0.639,0.651
BD-11 4672,2,0.52,0.571
BD-11 4672,2,0.639,0.651
BD-13 2130,1,NA,2.4
BD-13 2130,1,19.17,2.12
BD-14 3065 A,1,2.35,1.41
BD-14 3065 A,1,2.61,NA
BD-17 63,1,0.69,0.74
BD-17 63,1,NA,0.741
BD-17 63,1,NA,NA
BD-17 63,1,0.74,0.31
BD-210397,2,0.747,0.679
BD-210397,2,NA,0.691
BD-210397,2,0.747,0.679
BD-210397,2,NA,0.69
BEBOP-3,1,1.414,1.083
BEBOP-4 A,1,NA,1.507
Barnard's star,4,0.185,0.162
Barnard's star,4,0.185,0.162
Barnard's star,4,0.185,0.162
Barnard's star,4,0.185,0.162
Barnard's star,4,0.185,0.162
CD Cet,1,0.175,0.161
CD-35 2722,1,NA,0.4
CD-35 2722,1,NA,NA
CFBDSIR J145829+101343,1,NA,0.021
CFHTWIR-Oph 98 A,1,0.245,0.0147
CHXR 73,1,NA,0.35
CI Tau,1,NA,NA
COCONUTS-2 A,1,0.388,0.37
COCONUTS-2 A,1,0.388,0.37
CT Cha,1,NA,NA
